Summary of Groundwater Analytical Data,,,,,,,,,,,,
Client Name,"<-Required, must match",,,,,,,,,,,
Site Name,"<-Required, must match",,,,,,,,,,,
,,,,,,,,,,,,
Sample ID,Date Collected,"1,2,4-Trimethylbenzene","1,2-Dibromoethane","1,2-Dichloroethane","1,3,5-Trimethylbenzene",2-Methylnaphthalene,Benzene,Ethylbenzene,Xylene,Methyl tert-butyl ether,Naphthalene,Toluene
CAS,,95-63-6,106-93-4,107-06-2,108-67-8,91-57-6,71-43-2,100-41-4,1330207,1634-04-4,91-20-3,108-88-3
Unit,,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb
MW-1,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-2,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-3,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,130,< 1.0,< 2.0,< 4.0,< 5.0,4.9
MW-4,12/12/16,480,< 1.0,< 1.0,140,38,120,170,366,< 4.0,76,11
MW-5M1,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-5M2,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,1,1.7,< 2.0,< 4.0,< 5.0,< 1.0
MW-7,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-11,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-12,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-13,12/12/16,900,< 5.0,< 5.0,260,110,< 5.0,370,1840,< 20,250,620
MW-14,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-16M1,12/12/16,590,< 25,< 25,160,< 120,"2,100","1,100",1032,< 100,120,41
MW-16M2,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,13,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-16S,12/12/16,610,< 10,< 10,110,< 50,860,870,2430,< 40,200,920
MW-17S,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-20M1,12/12/16,1.4,< 1.0,5.1,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,6.9,< 5.0,< 1.0
MW-20S,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-21M1,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-21S,12/12/16,820,< 25,< 25,210,< 120,"3,000","2,000",5059,< 100,250,120
MW-23,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-24D,12/12/16,< 1.0,< 1.0,3,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,5.1,< 5.0,< 1.0
MW-24M1,12/12/16,41,< 5.0,< 5.0,5.6,56,"1,200",61,80.3,< 20,42,15
MW-24M2,12/12/16,200,< 10,< 10,< 10,< 50,"2,100",720,822,< 40,< 50,43
MW-24S,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,22,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-25,12/12/16,< 1.0,< 1.0,1.8,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-26S,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-32,12/12/16,"1,300",< 25,< 25,400,170,32,"1,400",6600,< 100,410,"1,600"
MW-33,12/12/16,85,< 1.0,< 1.0,13,7.1,3.2,62,115,< 4.0,26,9.2
MW-34,12/12/16,27,< 1.0,< 1.0,< 1.0,< 5.0,59,26,14,< 4.0,8.9,2.4
MW-35,12/12/16,8.4,< 5.0,< 5.0,< 5.0,< 25,720,210,402,< 20,< 25,32
MW-36,12/12/16,< 5.0,< 5.0,< 5.0,< 5.0,< 25,640,11,< 10,< 20,< 25,11
MW-37,12/12/16,< 1.0,< 1.0,< 1.0,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0
MW-38,12/12/16,< 1.0,< 1.0,2.4,< 1.0,< 5.0,< 1.0,< 1.0,< 2.0,< 4.0,< 5.0,< 1.0